4-Chloromercuribenzenesulfonate;D01.632.750.740.220;
5-Lipoxygenase-Activating Proteins;D12.644.360.024.032;D12.776.157.057.000
Abdomen;A01.047;A01.923.047
Abdominal Cavity;A01.047.025;A01.923.047.025
Abdominal Wall;A01.047.050;A01.923.047.050
Acebutolol;;D02.033.100.624.698.025
Acebutolol;;D02.033.755.624.698.025
Acrocallosal Syndrome;C10.500.070;C10.500.034.500
Acrocallosal Syndrome;C16.131.666.070;C16.131.666.034.500
Acute Toxicity Tests;E05.940.074;E05.940.790
Adenine Nucleotide Translocator 1;;D12.776.543.585.475.500.100
Adenine Nucleotide Translocator 2;;D12.776.543.585.475.500.200
Adenine Nucleotide Translocator 3;;D12.776.543.585.475.500.300
Adenomatous Polyposis Coli Protein;;D05.500.117.249
Adenomatous Polyposis Coli Protein;;D12.776.476.081.249
Administration, Rectal;E02.319.267.120.610;E02.319.267.120.806
Age Determination by Skeleton;E01.450.074;E01.370.049
Agglutination Tests;E01.450.495.735.050;E01.370.225.812.735.050
Agglutination Tests;;E05.200.812.735.050
Aicardi Syndrome;C10.500.106;C10.500.034.687
Aicardi Syndrome;C16.131.666.106;C16.131.666.034.687
AIDS Serodiagnosis;E01.450.495.735.060;E01.370.225.812.735.060
AIDS Serodiagnosis;;E05.200.812.735.060
Alkylmercury Compounds;D01.632.750.100;
Alpha Particles;G01.201.875.750.055;G01.750.750.055
alpha-Fetoproteins;D12.776.320.050;D12.776.124.790.106.092
alpha-Fetoproteins;;D12.776.320.525.500
alpha-Fetoproteins;;D12.776.377.228.500
alpha-Fetoproteins;;D12.776.377.715.085.092
Alprenolol;;D02.033.100.624.698.055
Alprenolol;;D02.033.755.624.698.055
Amniocentesis;E01.450.230.050;E01.370.225.500.384.050
Amniocentesis;E04.581.100;E01.370.225.998.329.309
Amniocentesis;;E04.665.600.309
Amniocentesis;;E05.200.500.384.050
Amniocentesis;;E05.200.998.329.309
Amniocentesis;;E05.242.384.050
Amphotericin B;D04.345.349.050;
Amphotericin B;D09.408.477.050;
Analytic Sample Preparation Methods;E05.842;E05.196.059
Antibody-Coated Bacteria Test, Urinary;E01.450.495.435.375.050;E01.370.225.500.607.512.240.149
Antibody-Coated Bacteria Test, Urinary;E05.478.594.430.375.050;E01.370.225.750.551.512.240.149
Antibody-Coated Bacteria Test, Urinary;;E01.370.225.812.049
Antibody-Coated Bacteria Test, Urinary;;E05.200.500.607.512.240.149
Antibody-Coated Bacteria Test, Urinary;;E05.200.750.551.512.240.149
Antibody-Coated Bacteria Test, Urinary;;E05.200.812.049
Antibody-Coated Bacteria Test, Urinary;;E05.478.412.050
Antibody-Coated Bacteria Test, Urinary;;E05.478.583.375.050
Antibody-Coated Bacteria Test, Urinary;;E05.478.594.049
Antigens, CD147;D12.776.543.550.188;D12.776.543.550.187
Antigens, CD28;D12.776.543.750.705.816.824.133;D12.776.543.750.705.222.500
Antigens, CD70;D12.776.543.550.172;D12.776.543.550.170
Antigens, CD8;;D23.050.301.264.035.108
Antigens, CD80;D23.050.301.264.035.180;D12.776.467.150.100
Antigens, CD80;D23.101.100.110.180;D12.776.543.095.100
Antigens, CD80;;D23.050.301.264.035.276.100
Antigens, CD80;;D23.050.301.285.100
Antigens, CD80;;D23.101.100.110.276.100
Antigens, CD80;;D23.529.168.100
Antigens, CD86;D12.776.395.550.017;D12.776.467.150.200
Antigens, CD86;D12.776.543.550.186;D12.776.543.095.200
Antigens, CD86;D23.050.301.264.035.186;D23.050.301.264.035.276.200
Antigens, CD86;D23.101.100.110.186;D23.050.301.285.200
Antigens, CD86;;D23.101.100.110.276.200
Antigens, CD86;;D23.529.168.200
Antimony Potassium Tartrate;D01.632.075;
Antimony Sodium Gluconate;D01.632.080;
Antimycin A;D04.345.349.075;
Appendicitis;;C01.539.463.099
Argon Plasma Coagulation;E02.520.425.500;E02.154.402.054
Argon Plasma Coagulation;E02.520.490.500;E02.520.089
Arsanilic Acid;D01.632.088.030;
Arsenamide;D01.632.088.040;
Arsenates;D01.632.088.042;
Arsenazo III;D01.632.088.044;
Arsenicals;D01.632.088;
Arsenites;D01.632.088.047;
Arsphenamine;D01.632.088.050;
Aspergillosis;C01.703.078;C01.539.800.200.383.249
Aspergillosis;;C01.703.295.328.249
Aspergillosis;;C01.703.513.249
Aspergillosis;;C17.800.838.208.416.249
Aspergillosis, Allergic Bronchopulmonary;C01.703.078.074;C01.539.800.200.383.249.074
Aspergillosis, Allergic Bronchopulmonary;;C01.703.295.328.249.074
Aspergillosis, Allergic Bronchopulmonary;;C01.703.513.249.074
Aspergillosis, Allergic Bronchopulmonary;;C17.800.838.208.416.249.074
Atenolol;;D02.033.100.624.698.070
Atenolol;;D02.033.755.624.698.070
Auranofin;D01.632.675.249.150;
Aurothioglucose;D01.632.675.249;
Autonomic Nerve Block;;E04.525.210.550.500
Autopsy;;E01.370.060
Autoradiography;E05.200.500.105;E01.370.225.750.132
Autoradiography;;E05.799.256
Azithromycin;D04.345.349.250.050;
Azithromycin;D09.408.477.250.050;
B-Lymphocyte Subsets;A15.382.490.555.567.550.450;A15.382.490.555.567.550.300
Back;A01.176;A01.923.176
Back Pain;C10.597.617.152;C10.597.617.232
Background Radiation;G01.201.875.750.115;G01.750.750.115
Bacterial Load;;E01.370.225.875.150.115
Bacterial Load;;E01.370.225.875.220.115
Bacterial Proton-Translocating ATPases;;D12.776.097.130
Bacterial Typing Techniques;;E01.370.225.875.150.125
Bacteriological Techniques;;E01.370.225.875.150
Bacteriophage Typing;;E01.370.225.875.150.125.150
Balloon Occlusion;;E02.926.500.074
Basophil Degranulation Test;E01.450.495.100;E01.370.225.812.100
Basophil Degranulation Test;;E05.200.812.100
Beta Particles;G01.201.875.750.125;G01.750.750.125
Betaxolol;;D02.033.100.624.698.077
Betaxolol;;D02.033.755.624.698.077
Binding Sites, Antibody;D12.776.124.486.485.114.345;G02.111.570.060.425.079
Binding Sites, Antibody;D12.776.124.790.651.114.345;
Binding Sites, Antibody;D12.776.377.715.548.114.345;
Biofuels;N06.230.132.128;N06.230.132.644.124
Biological Warfare Agents;;D20.215.226
Biopsy;E01.450.230.100;E01.370.225.500.384.100
Biopsy;E01.450.865.100;E01.370.225.998.054
Biopsy;;E05.200.500.384.100
Biopsy;;E05.200.998.054
Biopsy;;E05.242.384.100
Biopsy, Fine-Needle;E01.450.230.100.100.500;E01.370.225.500.384.100.119.500
Biopsy, Fine-Needle;E01.450.865.100.100.500;E01.370.225.998.054.119.500
Biopsy, Fine-Needle;;E04.665.100.500
Biopsy, Fine-Needle;;E05.200.500.384.100.119.500
Biopsy, Fine-Needle;;E05.200.998.054.119.500
Biopsy, Fine-Needle;;E05.242.384.100.119.500
Biopsy, Needle;E01.450.230.100.100;E01.370.225.500.384.100.119
Biopsy, Needle;E01.450.865.100.100;E01.370.225.998.054.119
Biopsy, Needle;E01.450.865.632.100;E04.665.100
Biopsy, Needle;;E05.200.500.384.100.119
Biopsy, Needle;;E05.200.998.054.119
Biopsy, Needle;;E05.242.384.100.119
Bisoprolol;;D02.033.100.624.698.085
Bisoprolol;;D02.033.755.624.698.085
Bleeding Time;E01.450.375.625.100;E01.370.225.625.625.100
Bleeding Time;;E05.200.625.625.100
Blood Cell Count;E01.450.375.107;E01.370.225.500.195.107
Blood Cell Count;;E01.370.225.625.107
Blood Cell Count;;E05.200.625.107
Blood Cell Count;;E05.242.195.107
Blood Chemical Analysis;E01.450.150.100;E01.370.225.124.100
Blood Chemical Analysis;;E05.200.124.100
Blood Coagulation Tests;E01.450.375.115;E01.370.225.625.115
Blood Coagulation Tests;;E05.200.625.115
Blood Gas Analysis;E01.450.150.100.100;E01.370.225.124.100.100
Blood Gas Analysis;;E05.200.124.100.100
Blood Gas Monitoring, Transcutaneous;E01.450.150.100.100.600.100;E01.370.225.124.100.100.600.100
Blood Gas Monitoring, Transcutaneous;;E05.200.124.100.100.600.100
Blood Glucose Self-Monitoring;E01.450.150.100.105;E01.370.225.124.100.105
Blood Glucose Self-Monitoring;;E05.200.124.100.105
Blood Grouping and Crossmatching;E01.450.375.120;E01.370.225.625.120
Blood Grouping and Crossmatching;E01.450.495.385.120;E01.370.225.812.385.120
Blood Grouping and Crossmatching;;E05.200.625.120
Blood Grouping and Crossmatching;;E05.200.812.385.120
Blood Preservation;E01.450.865.366.833.230;E02.792.833.230
Blood Protein Electrophoresis;E01.450.150.100.110;E01.370.225.124.100.110
Blood Protein Electrophoresis;;E05.200.124.100.110
Blood Safety;E01.450.865.366.833.230.500;E02.792.833.230.500
Blood Sedimentation;E01.450.375.125;E01.370.225.625.125
Blood Sedimentation;;E05.200.625.125
Blood Specimen Collection;E01.450.865.632.150;E01.370.225.998.110
Blood Specimen Collection;;E04.665.150
Blood Specimen Collection;;E05.200.998.110
Blood Urea Nitrogen;E01.450.150.100.115;E01.370.225.124.100.115
Blood Urea Nitrogen;;E05.200.124.100.115
Blotting, Far-Western;E01.450.495.410.320.100.200;E05.478.566.320.200.200
Blotting, Far-Western;E05.478.594.410.320.200.200;
Blotting, Western;E01.450.495.410.320.100;E05.478.566.320.200
Blotting, Western;E05.478.594.410.320.200;
Bone Demineralization Technique;E05.200.750.210;E05.118
Bone Marrow Examination;E01.450.375.135;E01.370.225.625.135
Bone Marrow Examination;;E05.200.625.135
Brain Mapping;E01.370.350.086;E01.370.350.578.875.500
Brain Mapping;E01.370.376.149;E01.370.376.537.625.500
Brain Mapping;E05.132;E05.629.875.500
Brefeldin A;D04.345.349.100;
Bupranolol;;D02.033.100.624.698.146
Bupranolol;;D02.033.755.624.698.146
C-Peptide;D06.472.699.587.740.250;D06.472.699.587.200.500.250
C-Peptide;D12.644.548.586.740.250;D12.644.548.586.200.500.250
Cacodylic Acid;D01.632.088.100;
CADASIL;;C10.228.140.300.275.249
CADASIL;;C14.907.253.329.249
Candicidin;D04.345.349.125;
Candicidin;D09.408.477.125;
Carboplatin;D01.632.800.338;
Carcinoma, Merkel Cell;;C02.256.721.150
Carcinoma, Merkel Cell;;C02.928.216
Carcinoma, Merkel Cell;;C04.925.216
Carteolol;;D02.033.100.624.698.207
Carteolol;;D02.033.755.624.698.207
Casein Kinase I;D12.644.360.150.300;D05.500.117.750
Casein Kinase I;D12.776.476.150.300;D12.776.476.081.750
Casein Kinase I;;D12.776.476.150.299
Casein Kinase Ialpha;D12.644.360.150.300.100;D05.500.117.750.100
Casein Kinase Ialpha;D12.776.476.150.300.100;D12.776.476.081.750.100
Casein Kinase Ialpha;;D12.776.476.150.299.100
Casein Kinase Idelta;D12.644.360.150.300.200;D05.500.117.750.200
Casein Kinase Idelta;D12.776.476.150.300.200;D12.776.476.081.750.200
Casein Kinase Idelta;;D12.776.476.150.299.200
Casein Kinase Iepsilon;D12.644.360.150.300.300;D05.500.117.750.300
Casein Kinase Iepsilon;D12.776.476.150.300.300;D12.776.476.081.750.300
Casein Kinase Iepsilon;;D12.776.476.150.299.300
Casein Kinase II;D12.644.360.150.600;
Casein Kinases;D12.644.360.150;
CD4 Lymphocyte Count;E01.450.375.107.595.500.150;E01.370.225.500.195.107.595.500.150
CD4 Lymphocyte Count;;E01.370.225.625.107.595.500.150
CD4 Lymphocyte Count;;E05.200.625.107.595.500.150
CD4 Lymphocyte Count;;E05.242.195.107.595.500.150
CD4-CD8 Ratio;E01.450.375.107.595.500.150.160;E01.370.225.500.195.107.595.500.150.160
CD4-CD8 Ratio;;E01.370.225.625.107.595.500.150.160
CD4-CD8 Ratio;;E05.200.625.107.595.500.150.160
CD4-CD8 Ratio;;E05.242.195.107.595.500.150.160
Celiprolol;;D02.033.100.624.698.268
Celiprolol;;D02.033.755.624.698.268
Cell Count;;E01.370.225.500.195
Cell Count;;E05.242.195
Cell Culture Techniques;E05.200.249.249;E01.370.225.500.223
Cell Culture Techniques;;E05.200.500.223
Cell Culture Techniques;;E05.240.249
Cell Culture Techniques;;E05.242.223
Cell Fractionation;E05.200.500.251;E05.242.251
Cell Fusion;E05.200.500.307;E05.242.307
Cell Migration Assays;E01.450.495.125;E01.370.225.500.335
Cell Migration Assays;;E01.370.225.812.125
Cell Migration Assays;;E05.200.812.125
Cell Migration Assays;;E05.242.335
Cell Migration Assays, Leukocyte;E01.450.495.125.500;E01.370.225.500.335.500
Cell Migration Assays, Leukocyte;;E01.370.225.812.125.500
Cell Migration Assays, Leukocyte;;E05.200.812.125.500
Cell Migration Assays, Leukocyte;;E05.242.335.500
Cell Migration Assays, Macrophage;E01.450.495.125.750;E01.370.225.500.335.750
Cell Migration Assays, Macrophage;;E01.370.225.812.125.750
Cell Migration Assays, Macrophage;;E05.200.812.125.750
Cell Migration Assays, Macrophage;;E05.242.335.750
Cell Separation;;E01.370.225.500.363
Cell Separation;;E05.242.363
Cell Tracking;E05.163;E01.370.225.500.373
Cell Tracking;;E05.242.373
Cerebral Amyloid Angiopathy, Familial;;C10.228.140.300.275.311
Cerebral Amyloid Angiopathy, Familial;;C14.907.253.329.311
Cerebral Angiography;E01.370.376.560.180;E01.370.350.578.937.180
Cerebral Angiography;;E01.370.376.537.750.180
Cerebral Angiography;;E05.629.937.180
Cerebral Ventriculography;E01.370.376.560.190;E01.370.350.578.937.190
Cerebral Ventriculography;;E01.370.376.537.750.190
Cerebral Ventriculography;;E05.629.937.190
Charities;;N03.540.125
Chemoembolization, Therapeutic;;E02.926.500.150
Chlormerodrin;D01.632.750.100.229;
Chloromercuribenzoates;D01.632.750.740.644.261;
Chloromercurinitrophenols;D01.632.750.740.225;
Chloroplast Proton-Translocating ATPases;;D12.776.183.750.500
Chloroplast Proton-Translocating ATPases;;D12.776.543.983.249
Chloroplast Proton-Translocating ATPases;;D12.776.765.199.750.374
Chloroplast Thioredoxins;;D12.776.183.186
Chloroplast Thioredoxins;;D12.776.765.199.186
Chorionic Villi Sampling;E01.450.230.100.150;E01.370.225.500.384.100.149
Chorionic Villi Sampling;E01.450.230.150;E01.370.225.500.384.150
Chorionic Villi Sampling;E01.450.865.100.150;E01.370.225.998.054.149
Chorionic Villi Sampling;E01.450.865.632.160;E04.074.149
Chorionic Villi Sampling;;E04.665.160
Chorionic Villi Sampling;;E05.200.500.384.100.149
Chorionic Villi Sampling;;E05.200.500.384.150
