root/EastAsia&Pacific,root,3.3699999999999997,0,6.84,9.96,10.44,10.04,14.979999999999999,19.180000000000003,22.080000000000002,25.47,25.719999999999995,27.22,20.310000000000002
root/EastAsia&Pacific/Australia,root/EastAsia&Pacific,0,0,0,0.46,0.57,0.5,0.85,0.93,0.74,1.27,1.39,1.23,0.93
root/EastAsia&Pacific/BruneiDarussalam,root/EastAsia&Pacific,0,0,0,0.34,0.31,0.3,0.32,0.34,0.38,0.39,0.43,0.41,0.37
root/EastAsia&Pacific/Cambodia,root/EastAsia&Pacific,0,0,0,0.47,0.61,0.63,0.79,1.01,0.94,1.15,1.35,1.34,0.9
root/EastAsia&Pacific/China,root/EastAsia&Pacific,0,0,0.27,0.28,0.4,0.42,0.48,0.69,0.99,1.11,1.37,1.17,0.96
root/EastAsia&Pacific/Fiji,root/EastAsia&Pacific,0,0,0,0.5,0,0,0.91,1.07,1.15,0,1.41,1.34,0.82
root/EastAsia&Pacific/FrenchPolynesia,root/EastAsia&Pacific,0,0,0,0,0,0,0,1.49,1.58,1.7,0,0,0
root/EastAsia&Pacific/HongKongSARChina,root/EastAsia&Pacific,0.82,0,1.19,1.36,1.46,1.47,1.54,1.69,1.95,1.92,2.16,2.06,1.86
root/EastAsia&Pacific/Indonesia,root/EastAsia&Pacific,0.24,0,0.44,0.16,0.17,0.27,0.27,0.57,0.5,0.79,0.47,0.93,0.63
root/EastAsia&Pacific/Japan,root/EastAsia&Pacific,0,0,1.25,1.02,1.06,0.91,1.26,1.09,1.42,1.6,2.0,1.38,1.06
root/EastAsia&Pacific/KoreaDemPeople’sRep,root/EastAsia&Pacific,0,0,0,0.73,0.55,0.55,0.78,0.71,0.76,0,0,0.94,0.58
root/EastAsia&Pacific/KoreaRep,root/EastAsia&Pacific,0.54,0,0.79,0.93,0.92,1.09,1.35,1.65,1.51,1.52,1.8,1.55,1.22
root/EastAsia&Pacific/LaoPDR,root/EastAsia&Pacific,0,0,0,0.31,0.41,0.36,0.54,0.86,0.92,1.26,1.33,1.4,0.93
root/EastAsia&Pacific/Malaysia,root/EastAsia&Pacific,0.4,0,0.42,0.28,0.28,0.35,0.37,0.53,0.53,0.59,0.62,0.68,0.45
root/EastAsia&Pacific/MarshallIslands,root/EastAsia&Pacific,0,0,0,0,0,0,0,0,0,0,0,1.44,0
root/EastAsia&Pacific/Mongolia,root/EastAsia&Pacific,0,0,0,0.23,0.38,0.38,0.61,0.88,1.38,1.11,1.29,1.01,0.72
