root/EastAsia&PacificAustralia,root,0,0,0,0.46,0.57,0.5,0.85,0.93,0.74,1.27,1.39,1.23,0.93
root/EastAsia&PacificBruneiDarussalam,root,0,0,0,0.34,0.31,0.3,0.32,0.34,0.38,0.39,0.43,0.41,0.37
root/EastAsia&PacificCambodia,root,0,0,0,0.47,0.61,0.63,0.79,1.01,0.94,1.15,1.35,1.34,0.9
root/EastAsia&PacificChina,root,0,0,0.27,0.28,0.4,0.42,0.48,0.69,0.99,1.11,1.37,1.17,0.96
root/EastAsia&PacificFiji,root,0,0,0,0.5,0,0,0.91,1.07,1.15,0,1.41,1.34,0.82
root/EastAsia&PacificFrenchPolynesia,root,0,0,0,0,0,0,0,1.49,1.58,1.7,0,0,0
root/EastAsia&PacificHongKongSARChina,root,0.82,0,1.19,1.36,1.46,1.47,1.54,1.69,1.95,1.92,2.16,2.06,1.86
root/EastAsia&PacificIndonesia,root,0.24,0,0.44,0.16,0.17,0.27,0.27,0.57,0.5,0.79,0.47,0.93,0.63
root/EastAsia&PacificJapan,root,0,0,1.25,1.02,1.06,0.91,1.26,1.09,1.42,1.6,2.0,1.38,1.06
root/EastAsia&PacificKoreaDemPeople’sRep,root,0,0,0,0.73,0.55,0.55,0.78,0.71,0.76,0,0,0.94,0.58
root/EastAsia&PacificKoreaRep,root,0.54,0,0.79,0.93,0.92,1.09,1.35,1.65,1.51,1.52,1.8,1.55,1.22
root/EastAsia&PacificLaoPDR,root,0,0,0,0.31,0.41,0.36,0.54,0.86,0.92,1.26,1.33,1.4,0.93
root/EastAsia&PacificMalaysia,root,0.4,0,0.42,0.28,0.28,0.35,0.37,0.53,0.53,0.59,0.62,0.68,0.45
root/EastAsia&PacificMarshallIslands,root,0,0,0,0,0,0,0,0,0,0,0,1.44,0
root/EastAsia&PacificMongolia,root,0,0,0,0.23,0.38,0.38,0.61,0.88,1.38,1.11,1.29,1.01,0.72
root/EastAsia&PacificMyanmar,root,0,0,0,0.13,0.33,0.36,0.12,0.66,0.43,0.8,1.04,1.14,0.54
root/EastAsia&PacificNauru,root,0,0,0,0,0,0,0,0,0,1.6,0,0,0
root/EastAsia&PacificNewZealand,root,0,0,0.61,0.64,0.48,0.55,0.77,0.98,1.09,1.47,1.77,1.71,1.4
root/EastAsia&PacificPapuaNewGuinea,root,0,0,0,0.41,0.53,0,0.94,0,0.94,0,0,1.36,0
