root/EastAsia&PacificAustralia,root,23.7,23.7,22.2,20.9,21.1,20.9,20.5,20.4,20.8,20.9,21.1,21.1,21.1
root/EastAsia&PacificBruneiDarussalam,root,0,5.6,5.6,5.6,5.6,5.6,8.5,8.5,7.9,7.9,7.9,7.9,7.9
root/EastAsia&PacificCambodia,root,0,0,0,0,1.3,1.3,1.3,1.3,0.5,0.5,0.5,0.5,0.5
root/EastAsia&PacificChina,root,0,0,0,0,0,0,0,0,49.8,49.5,48.5,48.9,48.1
root/EastAsia&PacificFiji,root,10.2,10.2,10.2,10.2,10.2,10.2,10.2,10.2,10.4,10.4,10.4,12.7,12.7
root/EastAsia&PacificHongKongSARChina,root,5.3,5.3,5.3,5.3,5.3,5.3,5.3,5.3,4.9,5.1,5.2,5.3,5.3
root/EastAsia&PacificIndonesia,root,0,0,0,0,0,0,0,0,10.8,11.3,9.2,10.3,11.5
root/EastAsia&PacificJapan,root,0,0,0,0,0,0,0,0,18.0,18.1,18.2,18.4,18.5
root/EastAsia&PacificKiribati,root,8.5,8.5,8.5,8.5,8.5,8.5,8.5,8.5,8.5,8.5,8.5,8.5,8.5
root/EastAsia&PacificKoreaRep,root,12.2,12.2,11.4,12.8,13.2,12.9,13.2,13.4,13.6,13.6,13.6,13.6,13.5
root/EastAsia&PacificLaoPDR,root,5.6,5.6,5.6,5.6,5.6,5.6,5.6,5.6,5.6,5.6,5.6,6.8,6.8
root/EastAsia&PacificMalaysia,root,15.6,15.6,15.6,15.6,15.6,15.6,15.6,15.6,16.4,16.4,16.4,16.4,16.4
root/EastAsia&PacificMarshallIslands,root,11.8,11.8,11.8,11.8,11.8,11.8,11.8,11.8,11.8,11.8,11.8,11.8,11.8
root/EastAsia&PacificMicronesiaFedSts,root,6.8,6.8,6.8,6.8,6.8,6.8,7.0,7.9,7.9,8.5,8.5,8.5,8.5
root/EastAsia&PacificMongolia,root,22.6,22.6,22.6,22.6,12.4,12.4,12.4,12.4,12.4,12.4,12.4,12.4,12.4
root/EastAsia&PacificMyanmar,root,0,0,0,0,0,0,0,0,0,0,0.2,0.3,0.3
root/EastAsia&PacificNewZealand,root,2.4,2.4,2.4,2.4,2.6,3.0,2.9,3.7,3.1,3.0,2.7,2.5,2.8
root/EastAsia&PacificPalau,root,6.5,6.5,6.5,6.5,6.5,6.5,6.5,9.3,9.2,9.5,9.5,9.5,9.6
root/EastAsia&PacificPapuaNewGuinea,root,10.9,10.9,10.9,10.9,11.7,11.7,11.7,11.7,11.7,11.7,11.7,11.7,11.7
root/EastAsia&PacificPhilippines,root,9.5,9.5,9.5,9.8,9.8,9.8,10.8,10.8,8.0,8.0,8.7,8.7,8.7
root/EastAsia&PacificSamoa,root,6.8,6.8,6.8,6.8,6.8,6.8,6.8,6.8,6.8,6.8,6.8,7.3,8.5
root/EastAsia&PacificSingapore,root,14.4,14.4,13.7,14.5,14.6,14.7,15.5,16.8,16.8,15.3,15.3,16.2,17.8
root/EastAsia&PacificSolomonIslands,root,8.5,8.5,8.5,8.5,8.5,8.5,8.5,8.5,8.5,8.5,8.5,8.5,8.5
root/EastAsia&PacificThailand,root,5.7,5.7,5.7,5.7,5.7,5.7,5.7,5.7,4.0,4.3,5.4,5.4,5.4
root/EastAsia&PacificTonga,root,0,0,0,0,0,0,0,0,5.6,5.6,5.6,5.6,5.6
root/EastAsia&PacificVanuatu,root,4.5,4.5,4.5,4.5,4.5,4.5,4.5,4.5,4.5,4.5,4.5,4.5,4.5
root/EastAsia&PacificVietnam,root,19.2,19.2,19.2,19.2,19.2,20.3,22.6,22.6,23.7,23.7,24.8,24.8,24.8
root/Europe&CentralAsiaAlbania,root,34.6,34.6,24.5,28.6,31.9,27.3,25.0,25.3,18.8,18.8,18.8,18.8,18.8
root/Europe&CentralAsiaArmenia,root,19.9,19.9,23.0,23.0,23.0,23.0,23.0,23.0,19.4,0,0,0,0
root/Europe&CentralAsiaAustria,root,35.3,34.5,34.5,34.5,34.6,34.6,34.8,34.7,34.1,34.3,34.3,34.2,34.2
root/Europe&CentralAsiaAzerbaijan,root,30.5,24.8,24.8,24.8,24.8,24.8,24.8,24.8,24.8,24.8,24.8,24.8,24.8
root/Europe&CentralAsiaBelarus,root,44.1,44.1,44.1,39.6,39.6,39.3,39.0,39.0,39.0,39.0,39.0,39.0,39.0
root/Europe&CentralAsiaBelgium,root,49.5,49.4,49.3,49.2,49.0,49.2,49.2,49.6,49.1,49.5,49.4,48.9,46.2
root/Europe&CentralAsiaBosniaandHerzegovina,root,17.2,17.2,17.2,17.2,17.6,12.6,12.6,12.6,13.5,13.5,13.5,13.5,13.5
root/Europe&CentralAsiaBulgaria,root,35.8,33.4,26.6,26.8,22.9,20.4,19.2,20.2,20.2,20.2,20.2,20.2,20.2
