root/EastAsia&Pacific,root,873.9,900.9,899.5999999999999,876.4000000000001,823.2,796.9,808.7,839.1999999999999,980.7999999999998,977.1999999999999,966.1999999999999,972.0,968.0
root/EastAsia&Pacific/Australia,root/EastAsia&Pacific,52.1,51.1,50.1,50.0,47.8,47.6,47.3,47.2,47.3,47.4,47.6,47.6,47.5
root/EastAsia&Pacific/BruneiDarussalam,root/EastAsia&Pacific,0,37.4,37.4,37.4,30.1,15.7,16.7,15.4,15.8,15.8,8.0,8.0,8.0
root/EastAsia&Pacific/Cambodia,root/EastAsia&Pacific,21.5,21.5,21.5,21.5,22.6,22.6,22.6,22.6,21.0,21.0,21.0,21.0,21.7
root/EastAsia&Pacific/China,root/EastAsia&Pacific,0,0,0,0,0,0,0,0,68.8,68.6,67.9,68.2,67.3
root/EastAsia&Pacific/Fiji,root/EastAsia&Pacific,41.5,41.5,41.5,41.5,41.2,39.3,38.3,37.6,31.1,31.1,31.1,33.1,33.0
root/EastAsia&Pacific/HongKongSARChina,root/EastAsia&Pacific,24.1,24.1,24.1,24.1,23.0,23.0,23.0,23.0,22.6,22.8,22.8,22.9,22.9
root/EastAsia&Pacific/Indonesia,root/EastAsia&Pacific,0,0,0,0,0,0,0,0,32.2,31.4,29.7,30.6,30.0
root/EastAsia&Pacific/Japan,root/EastAsia&Pacific,0,0,0,0,0,0,0,0,48.8,50.4,50.4,48.9,47.4
root/EastAsia&Pacific/Kiribati,root/EastAsia&Pacific,31.8,31.8,31.8,31.8,31.8,31.8,31.8,31.8,32.7,32.7,32.7,32.7,32.7
root/EastAsia&Pacific/KoreaRep,root/EastAsia&Pacific,36.8,32.5,31.6,33.9,32.3,30.2,34.1,34.0,33.4,33.2,33.2,33.1,33.1
root/EastAsia&Pacific/LaoPDR,root/EastAsia&Pacific,35.2,35.2,35.2,33.5,31.4,31.4,31.4,31.4,26.3,25.8,25.3,26.2,26.2
root/EastAsia&Pacific/Malaysia,root/EastAsia&Pacific,36.0,36.0,36.0,34.5,33.5,33.9,34.1,34.6,39.1,39.3,40.0,40.0,39.2
root/EastAsia&Pacific/MarshallIslands,root/EastAsia&Pacific,64.8,64.8,64.8,64.8,64.8,64.8,64.8,64.8,64.8,64.8,64.8,64.8,64.8
root/EastAsia&Pacific/MicronesiaFedSts,root/EastAsia&Pacific,59.6,59.6,58.7,58.7,58.7,58.7,59.0,59.9,60.0,60.5,60.5,60.5,60.5
root/EastAsia&Pacific/Mongolia,root/EastAsia&Pacific,40.0,40.0,40.0,33.9,24.4,24.7,24.7,24.9,24.8,24.7,24.7,24.7,24.7
root/EastAsia&Pacific/Myanmar,root/EastAsia&Pacific,0,0,0,0,0,0,0,39.5,35.4,34.0,33.1,31.9,31.2
root/EastAsia&Pacific/NewZealand,root/EastAsia&Pacific,36.6,35.4,35.5,36.0,33.2,34.7,34.4,34.0,34.4,34.4,34.3,34.3,34.5
root/EastAsia&Pacific/Palau,root/EastAsia&Pacific,72.5,72.5,72.5,72.5,72.5,72.5,72.5,75.2,75.0,75.4,75.4,75.5,75.5
root/EastAsia&Pacific/PapuaNewGuinea,root/EastAsia&Pacific,41.5,41.5,41.5,41.5,42.1,42.1,42.1,42.1,39.3,39.3,39.3,39.3,39.3
root/EastAsia&Pacific/Philippines,root/EastAsia&Pacific,47.2,47.6,49.1,47.1,47.1,43.8,44.5,44.5,42.5,42.5,42.9,42.9,42.9
root/EastAsia&Pacific/Samoa,root/EastAsia&Pacific,19.3,19.3,19.3,18.4,18.4,18.4,18.4,18.4,18.4,18.1,18.1,18.5,19.3
root/EastAsia&Pacific/Singapore,root/EastAsia&Pacific,26.2,22.4,21.8,24.2,24.1,23.4,23.8,18.4,18.4,18.0,18.0,19.1,20.3
root/EastAsia&Pacific/SolomonIslands,root/EastAsia&Pacific,26.1,26.1,26.1,26.1,26.1,26.2,26.2,25.3,32.0,32.0,32.0,32.0,32.0
root/EastAsia&Pacific/Thailand,root/EastAsia&Pacific,36.4,35.9,36.4,36.1,35.8,35.8,35.9,36.1,28.7,26.0,26.8,29.6,28.7
root/EastAsia&Pacific/TimorLeste,root/EastAsia&Pacific,48.9,48.9,48.9,33.1,11.2,11.2,11.2,11.2,11.2,11.2,11.2,11.2,11.2
root/EastAsia&Pacific/Tonga,root/EastAsia&Pacific,27.5,27.5,27.5,27.5,22.7,23.6,23.6,23.6,27.5,27.5,27.5,27.5,27.5
root/EastAsia&Pacific/Vanuatu,root/EastAsia&Pacific,8.4,8.4,8.4,8.4,8.4,8.4,8.4,8.4,8.5,8.5,8.5,8.5,8.5
root/EastAsia&Pacific/Vietnam,root/EastAsia&Pacific,39.9,39.9,39.9,39.9,40.0,33.1,39.9,35.3,40.8,40.8,39.4,39.4,38.1
root/Europe&CentralAsia,root,2190.2,2196.3999999999996,2086.0,2085.3,2009.3000000000002,1941.6999999999994,1905.0999999999995,1942.5000000000002,1964.6000000000004,1907.7999999999995,1897.8999999999996,1865.4000000000003,1830.3000000000002
root/Europe&CentralAsia/Albania,root/Europe&CentralAsia,58.6,56.9,46.3,50.0,44.0,40.6,38.7,38.8,31.7,31.6,36.9,36.9,37.3
root/Europe&CentralAsia/Armenia,root/Europe&CentralAsia,36.6,36.6,38.6,38.6,38.6,38.6,38.8,38.8,35.9,20.1,20.0,18.5,18.5
root/Europe&CentralAsia/Austria,root/Europe&CentralAsia,57.2,51.1,51.1,51.1,51.6,51.3,50.8,52.3,51.9,51.7,51.7,51.6,51.8
root/Europe&CentralAsia/Azerbaijan,root/Europe&CentralAsia,46.4,42.4,40.9,40.9,40.9,38.9,40.0,40.0,39.8,39.8,39.8,39.8,39.8
root/Europe&CentralAsia/Belarus,root/Europe&CentralAsia,137.2,137.2,120.8,117.4,99.9,80.8,63.0,54.3,50.5,50.3,51.9,52.7,52.9
root/Europe&CentralAsia/Belgium,root/Europe&CentralAsia,60.1,59.9,57.9,55.9,55.2,57.3,57.7,58.2,58.0,58.4,58.4,58.7,57.1
root/Europe&CentralAsia/BosniaandHerzegovina,root/Europe&CentralAsia,42.8,42.7,42.8,42.8,25.9,22.2,23.6,23.6,22.2,23.3,23.3,22.6,23.7
root/Europe&CentralAsia/Bulgaria,root/Europe&CentralAsia,45.2,41.6,35.8,33.9,30.4,28.0,27.2,27.8,27.0,27.0,27.0,27.0,27.1
root/Europe&CentralAsia/Croatia,root/Europe&CentralAsia,20.8,20.8,20.8,20.8,20.8,21.5,21.3,21.2,19.3,18.4,20.0,20.9,20.6
root/Europe&CentralAsia/Cyprus,root/Europe&CentralAsia,0,0,0,20.6,20.6,21.7,21.6,21.6,21.9,22.5,24.0,24.2,22.7
root/Europe&CentralAsia/CzechRepublic,root/Europe&CentralAsia,55.1,54.1,53.1,53.1,51.1,50.0,50.0,50.0,50.0,50.4,50.4,50.0,50.0
root/Europe&CentralAsia/Denmark,root/Europe&CentralAsia,33.3,31.5,32.0,29.2,28.2,28.1,26.4,27.0,26.3,26.0,24.5,25.0,24.2
root/Europe&CentralAsia/Estonia,root/Europe&CentralAsia,50.6,49.4,48.7,48.1,48.4,48.8,57.8,66.8,49.7,49.4,49.4,48.7,48.7
root/Europe&CentralAsia/Finland,root/Europe&CentralAsia,49.5,47.7,47.8,47.8,47.7,40.8,39.1,40.6,39.9,40.1,37.9,38.1,38.4
root/Europe&CentralAsia/France,root/Europe&CentralAsia,67.9,72.6,69.4,68.0,67.6,67.6,67.5,69.3,69.3,70.8,61.9,64.0,62.2
root/Europe&CentralAsia/Georgia,root/Europe&CentralAsia,57.0,38.6,38.6,38.6,15.3,15.3,16.5,16.5,16.4,16.4,16.4,16.4,16.4
root/Europe&CentralAsia/Germany,root/Europe&CentralAsia,47.7,47.4,49.0,49.4,43.9,47.0,45.6,45.9,49.1,48.8,48.8,48.9,48.9
root/Europe&CentralAsia/Greece,root/Europe&CentralAsia,54.0,49.5,48.9,46.7,46.7,46.7,45.9,44.1,44.0,50.7,49.6,50.7,51.7
root/Europe&CentralAsia/Hungary,root/Europe&CentralAsia,56.6,55.7,55.3,56.6,56.6,54.6,52.0,49.8,49.3,48.0,48.4,46.5,46.5
root/Europe&CentralAsia/Iceland,root/Europe&CentralAsia,26.8,26.8,26.3,26.1,24.4,26.4,30.3,31.1,30.3,30.3,30.1,30.1,29.7
root/Europe&CentralAsia/Ireland,root/Europe&CentralAsia,25.4,25.4,25.4,25.5,25.6,25.4,25.5,25.6,25.9,26.0,26.0,26.0,26.0
root/Europe&CentralAsia/Italy,root/Europe&CentralAsia,76.7,75.3,75.3,72.5,67.6,67.6,67.6,67.6,65.6,65.2,64.8,62.0,48.0
