root/EastAsia&PacificAmericanSamoa,root,5.17,5.3,4.86,6.28,6.44,4.6,4.85,4.56,4.39,4.19,4.42,5.22,5.22
root/EastAsia&PacificAustralia,root,26.58,28.02,26.96,26.77,38.21,28.8,28.11,28.34,28.81,29.87,31.29,32.02,30.64
root/EastAsia&PacificBruneiDarussalam,root,3.91,3.46,3.26,3.7,3.68,3.94,5.12,4.68,4.44,4.61,4.3,4.56,3.86
root/EastAsia&PacificCambodia,root,3.89,3.25,2.93,3.25,3.47,4.67,4.52,5.36,3.45,5.34,5.55,6.69,5.61
root/EastAsia&PacificChina,root,100.0,108.29,113.1,127.85,137.38,132.47,143.57,152.06,156.19,157.51,165.05,167.13,167.48
root/EastAsia&PacificFiji,root,8.26,8.32,7.24,7.35,10.31,8.74,9.44,9.23,12.39,12.05,9.43,8.56,8.56
root/EastAsia&PacificFrenchPolynesia,root,10.46,11.14,8.91,8.6,9.01,8.39,8.88,8.59,10.86,9.9,12.09,11.88,12.09
root/EastAsia&PacificGuam,root,10.5,10.52,9.56,8.73,8.56,8.57,8.78,8.76,8.41,7.85,8.38,8.33,8.33
root/EastAsia&PacificHongKongSARChina,root,94.42,96.78,99.31,106.2,108.78,104.47,113.6,115.27,117.18,116.63,115.99,116.76,101.02
root/EastAsia&PacificIndonesia,root,25.88,28.84,25.84,26.27,24.85,25.68,25.6,25.91,26.28,27.41,28.06,26.98,27.19
root/EastAsia&PacificJapan,root,69.15,66.73,64.54,62.73,66.63,66.33,67.43,67.81,63.09,65.68,62.14,68.82,78.9
root/EastAsia&PacificKiribati,root,3.06,3.28,3.05,3.06,3.06,2.85,2.86,3.11,2.91,2.91,2.91,2.91,2.91
root/EastAsia&PacificKoreaRep,root,68.68,73.03,71.92,77.19,76.4,86.67,82.61,92.02,101.73,100.42,108.06,113.2,115.61
root/EastAsia&PacificMalaysia,root,62.83,64.97,69.2,81.58,77.6,81.21,88.14,90.96,99.69,98.18,104.02,110.58,106.79
root/EastAsia&PacificMarshallIslands,root,3.49,3.68,3.26,3.06,3.06,2.85,2.83,3.08,2.91,2.91,3.02,3.02,3.02
root/EastAsia&PacificMicronesiaFedSts,root,2.8,2.87,1.94,3.13,3.85,3.85,3.43,3.62,3.58,2.17,1.32,1.32,1.32
root/EastAsia&PacificMyanmar,root,3.12,2.47,2.54,3.12,3.63,3.79,3.68,3.22,4.2,6.0,6.25,6.23,6.37
root/EastAsia&PacificNewCaledonia,root,9.83,10.34,9.0,8.81,9.23,8.74,9.37,9.17,9.41,9.23,9.51,8.58,14.79
root/EastAsia&PacificNewZealand,root,20.88,20.58,20.71,20.6,20.48,10.59,18.38,18.5,19.35,18.95,21.05,20.07,20.81
root/EastAsia&PacificNorthernMarianaIslands,root,2.17,2.2,1.85,2.86,3.76,3.76,3.43,3.65,3.44,1.37,4.06,4.01,4.01
root/EastAsia&PacificPalau,root,1.04,1.04,1.87,3.07,3.79,3.79,3.43,3.62,3.58,2.17,1.32,1.32,1.32
root/EastAsia&PacificPapuaNewGuinea,root,6.97,6.4,4.67,6.86,6.92,6.58,6.38,8.83,6.86,6.61,9.02,7.57,7.52
root/EastAsia&PacificPhilippines,root,15.45,15.87,16.48,18.42,30.26,15.9,15.19,18.56,17.15,18.11,20.27,18.27,17.81
root/EastAsia&PacificSamoa,root,5.44,5.33,5.09,6.5,6.66,4.62,5.18,4.56,4.39,4.19,4.42,5.22,5.22
root/EastAsia&PacificSingapore,root,81.87,83.87,86.11,87.53,94.47,99.47,103.76,105.02,113.16,106.91,113.16,117.13,122.7
root/EastAsia&PacificSolomonIslands,root,3.62,4.29,3.97,4.13,4.16,3.96,5.57,5.87,6.07,6.04,6.9,6.64,6.62
root/EastAsia&PacificThailand,root,31.01,31.92,33.89,35.31,36.48,36.78,43.76,36.7,37.66,38.32,44.88,44.43,44.32
root/EastAsia&PacificTonga,root,3.81,4.75,4.45,4.07,4.23,3.99,3.73,3.72,3.37,3.17,3.58,2.94,2.94
root/EastAsia&PacificVanuatu,root,3.92,4.48,4.41,4.34,4.36,4.22,3.75,3.7,3.88,3.42,6.44,6.17,6.17
root/EastAsia&PacificVietnam,root,12.86,14.3,15.14,17.59,18.73,26.39,31.36,49.71,48.71,43.26,46.08,46.36,62.84
root/Europe&CentralAsiaAlbania,root,0.4,0.4,0.4,2.28,1.98,2.3,4.34,4.54,0.53,4.43,4.11,3.88,3.37
root/Europe&CentralAsiaBelgium,root,73.16,74.17,76.15,73.93,77.98,82.8,84.0,88.47,78.85,82.21,80.75,86.96,88.64
root/Europe&CentralAsiaBulgaria,root,6.17,5.61,4.47,4.83,5.09,5.78,5.46,5.37,6.36,5.89,4.98,5.01,4.86
root/Europe&CentralAsiaCroatia,root,8.58,12.19,10.47,12.33,15.36,8.48,8.97,21.75,21.38,20.44,23.47,28.13,32.51
root/Europe&CentralAsiaCyprus,root,14.39,18.53,17.39,18.01,11.81,13.31,16.2,17.12,16.02,16.39,17.71,17.32,19.32
root/Europe&CentralAsiaDenmark,root,11.56,24.25,25.39,22.1,26.49,27.68,26.76,26.41,44.71,38.67,51.96,52.28,54.85
root/Europe&CentralAsiaEstonia,root,7.05,6.52,5.76,5.78,5.48,5.71,5.73,5.84,5.43,6.44,6.64,5.31,5.4
root/Europe&CentralAsiaFaroeIslands,root,4.22,4.4,4.43,4.45,4.2,4.2,4.21,4.2,4.21,4.21,4.18,4.18,3.96
root/Europe&CentralAsiaFinland,root,9.45,10.16,8.58,10.7,9.72,10.15,8.36,11.27,15.51,9.34,10.13,9.61,9.64
root/Europe&CentralAsiaFrance,root,67.34,70.0,67.78,64.84,66.24,67.01,74.94,71.84,70.09,74.94,75.24,77.06,83.9
root/Europe&CentralAsiaGeorgia,root,3.46,3.81,2.94,3.22,4.03,3.83,4.02,3.79,4.99,4.17,5.58,5.61,5.73
root/Europe&CentralAsiaGermany,root,76.59,78.41,80.66,88.95,89.26,84.3,90.88,93.32,90.63,88.61,93.98,97.79,97.75
root/Europe&CentralAsiaGreece,root,30.22,29.07,31.29,30.7,27.14,41.91,34.25,32.15,45.5,45.35,47.25,46.81,47.41
root/Europe&CentralAsiaGreenland,root,2.32,2.32,2.27,2.27,2.36,2.27,2.27,2.3,2.3,2.3,2.3,2.3,2.3
root/Europe&CentralAsiaIceland,root,4.72,4.88,4.75,4.72,4.72,4.73,4.7,4.68,4.68,4.66,4.41,4.43,4.36
root/Europe&CentralAsiaIreland,root,8.78,9.66,8.18,8.85,7.64,7.6,8.53,5.94,12.99,12.68,10.08,9.81,9.49
root/Europe&CentralAsiaItaly,root,58.13,62.2,58.11,58.84,55.87,69.97,59.57,70.18,66.33,67.26,67.58,67.43,67.41
root/Europe&CentralAsiaLatvia,root,6.37,5.82,5.1,5.87,5.52,5.18,5.98,5.51,5.45,4.07,3.62,3.62,3.62
root/Europe&CentralAsiaLithuania,root,5.22,5.88,5.66,6.83,7.76,8.11,9.55,9.77,9.55,5.84,6.14,6.14,6.22
root/Europe&CentralAsiaMontenegro,root,0,0,0,0,3.2,0.02,4.48,4.04,1.35,2.35,2.9,3.3,3.19
root/Europe&CentralAsiaNetherlands,root,78.81,79.95,80.97,84.79,87.57,88.66,89.96,92.1,88.93,87.46,94.15,96.33,95.73
root/Europe&CentralAsiaNorway,root,9.23,8.31,7.34,7.8,7.91,7.93,7.93,7.32,5.31,5.28,4.99,4.75,5.89
root/Europe&CentralAsiaPoland,root,7.28,7.53,7.5,7.86,9.32,9.21,26.18,26.54,44.62,38.03,51.08,51.19,52.5
root/Europe&CentralAsiaPortugal,root,17.54,16.84,23.55,25.42,34.97,32.97,38.06,21.08,46.23,46.08,46.28,45.71,48.16
root/Europe&CentralAsiaRomania,root,12.02,15.37,17.61,22.47,26.35,23.34,15.48,21.37,23.28,25.73,26.66,28.77,29.89
root/Europe&CentralAsiaRussianFederation,root,11.9,12.72,12.81,14.06,15.31,20.64,20.88,20.64,37.01,38.17,37.65,43.34,42.57
root/Europe&CentralAsiaSerbia,root,2.92,2.92,2.96,2.96,0,0,0,0,0,0,0,0,0
