root/EastAsia&Pacific,root,102.0,108.0,141.0,180.0,203.0,307.0,323.0,395.0,450.0,609.0,718.0,741.0,830.0,895.0,901.0,957.0,973.0,953.0,919.0,953.0,1018.0,1040.0,1118.0,1206.0,1181.0,1184.0,1219.0,1198.0,1203.0,1278.0,1349.0,1360.0,1375.0,1383.0,1399.0,1414.0,1419.0
root/EastAsia&Pacific/BruneiDarussalam,root/EastAsia&Pacific,0,0,0,6.0,8.0,51.0,50.0,45.0,43.0,42.0,40.0,38.0,57.0,58.0,64.0,69.0,74.0,79.0,66.0,62.0,77.0,78.0,79.0,80.0,68.0,64.0,64.0,64.0,65.0,65.0,95.0,95.0,95.0,95.0,95.0,95.0,95.0
root/EastAsia&Pacific/Cambodia,root/EastAsia&Pacific,0,0,0,0,0,9.0,10.0,10.0,10.0,10.0,11.0,11.0,11.0,26.0,34.0,45.0,47.0,46.0,47.0,50.0,58.0,62.0,64.0,71.0,79.0,81.0,84.0,87.0,87.0,91.0,91.0,91.0,91.0,91.0,91.0,93.0,93.0
root/EastAsia&Pacific/Fiji,root/EastAsia&Pacific,0,0,0,0,0,0,0,0,0,0,5.0,34.0,64.0,91.0,70.0,76.0,81.0,86.0,85.0,84.0,84.0,83.0,92.0,92.0,93.0,93.0,93.0,94.0,94.0,94.0,94.0,94.0,94.0,94.0,94.0,94.0,94.0
root/EastAsia&Pacific/Indonesia,root/EastAsia&Pacific,8.0,4.0,28.0,20.0,12.0,29.0,32.0,34.0,37.0,47.0,64.0,65.0,68.0,69.0,74.0,74.0,76.0,79.0,80.0,81.0,82.0,82.0,82.0,82.0,82.0,83.0,83.0,83.0,79.0,85.0,85.0,85.0,85.0,85.0,85.0,85.0,85.0
root/EastAsia&Pacific/Kiribati,root/EastAsia&Pacific,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,76.0,38.0,45.0,55.0,43.0,42.0,79.0,80.0,83.0,85.0,90.0,90.0,90.0,90.0
root/EastAsia&Pacific/KoreaDemPeople’sRep,root/EastAsia&Pacific,20.0,26.0,35.0,38.0,43.0,0,0,0,0,89.0,90.0,90.0,91.0,91.0,92.0,90.0,82.0,60.0,30.0,55.0,81.0,80.0,91.0,91.0,92.0,90.0,90.0,91.0,91.0,91.0,91.0,93.0,93.0,93.0,93.0,97.0,97.0
root/EastAsia&Pacific/LaoPDR,root/EastAsia&Pacific,20.0,22.0,21.0,23.0,19.0,2.0,4.0,7.0,7.0,6.0,12.0,16.0,22.0,30.0,40.0,44.0,43.0,45.0,46.0,48.0,58.0,52.0,53.0,54.0,51.0,50.0,52.0,47.0,47.0,47.0,80.0,80.0,80.0,90.0,90.0,90.0,90.0
root/EastAsia&Pacific/Malaysia,root/EastAsia&Pacific,45.0,39.0,32.0,21.0,10.0,52.0,56.0,60.0,66.0,81.0,82.0,83.0,85.0,84.0,83.0,84.0,85.0,85.0,81.0,85.0,88.0,87.0,86.0,86.0,88.0,88.0,88.0,87.0,87.0,87.0,87.0,90.0,90.0,90.0,90.0,90.0,90.0
root/EastAsia&Pacific/Myanmar,root/EastAsia&Pacific,1.0,4.0,8.0,13.0,15.0,24.0,31.0,35.0,37.0,49.0,62.0,80.0,81.0,82.0,76.0,80.0,82.0,84.0,82.0,76.0,79.0,81.0,85.0,86.0,87.0,89.0,92.0,93.0,93.0,93.0,93.0,93.0,93.0,87.0,87.0,87.0,87.0
root/EastAsia&Pacific/PapuaNewGuinea,root/EastAsia&Pacific,8.0,13.0,17.0,23.0,22.0,25.0,21.0,31.0,62.0,62.0,78.0,75.0,51.0,41.0,51.0,60.0,69.0,68.0,31.0,30.0,24.0,45.0,47.0,46.0,49.0,53.0,57.0,60.0,61.0,61.0,61.0,61.0,70.0,65.0,70.0,70.0,75.0
root/EastAsia&Pacific/Philippines,root/EastAsia&Pacific,0,0,0,0,20.0,28.0,31.0,39.0,45.0,53.0,57.0,55.0,56.0,57.0,54.0,54.0,55.0,55.0,55.0,55.0,55.0,56.0,56.0,56.0,57.0,57.0,61.0,58.0,58.0,68.0,75.0,76.0,76.0,80.0,87.0,90.0,90.0
root/EastAsia&Pacific/SolomonIslands,root/EastAsia&Pacific,0,0,0,6.0,6.0,27.0,29.0,47.0,58.0,65.0,71.0,74.0,76.0,70.0,73.0,81.0,78.0,75.0,75.0,75.0,75.0,75.0,74.0,78.0,82.0,74.0,74.0,84.0,85.0,85.0,85.0,85.0,85.0,85.0,85.0,85.0,85.0
root/EastAsia&Pacific/Thailand,root/EastAsia&Pacific,0,0,0,0,0,41.0,40.0,62.0,60.0,67.0,75.0,74.0,76.0,71.0,84.0,87.0,83.0,82.0,83.0,85.0,85.0,86.0,86.0,88.0,88.0,88.0,88.0,89.0,91.0,91.0,91.0,91.0,91.0,91.0,95.0,95.0,95.0
root/EastAsia&Pacific/TimorLeste,root/EastAsia&Pacific,0,0,0,30.0,48.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,55.0,58.0,64.0,59.0,63.0,59.0,66.0,81.0,81.0,81.0,81.0,81.0,81.0,81.0,81.0
root/EastAsia&Pacific/Vanuatu,root/EastAsia&Pacific,0,0,0,0,0,19.0,19.0,25.0,20.0,20.0,47.0,25.0,54.0,56.0,30.0,33.0,29.0,23.0,76.0,84.0,86.0,87.0,82.0,77.0,78.0,84.0,88.0,73.0,73.0,73.0,73.0,75.0,75.0,75.0,75.0,78.0,78.0
root/EastAsia&Pacific/Vietnam,root/EastAsia&Pacific,0,0,0,0,0,0,0,0,5.0,18.0,24.0,21.0,38.0,69.0,76.0,80.0,89.0,86.0,82.0,83.0,86.0,86.0,86.0,85.0,85.0,86.0,87.0,86.0,84.0,87.0,87.0,87.0,91.0,91.0,91.0,94.0,94.0
root/Europe&CentralAsia,root,2.0,1.0,2.0,2.0,2.0,0,0,0,11.0,15.0,50.0,147.0,162.0,164.0,134.0,132.0,134.0,139.0,122.0,129.0,136.0,135.0,132.0,134.0,162.0,148.0,155.0,157.0,158.0,158.0,177.0,177.0,177.0,177.0,182.0,182.0,182.0
root/Europe&CentralAsia/Albania,root/Europe&CentralAsia,0,0,0,0,0,0,0,0,0,0,30.0,72.0,87.0,89.0,91.0,90.0,91.0,92.0,74.0,80.0,86.0,83.0,80.0,81.0,85.0,86.0,87.0,87.0,87.0,87.0,87.0,87.0,87.0,87.0,92.0,92.0,92.0
root/Europe&CentralAsia/Turkey,root/Europe&CentralAsia,2.0,1.0,2.0,2.0,2.0,0,0,0,11.0,15.0,20.0,75.0,75.0,75.0,43.0,42.0,43.0,47.0,48.0,49.0,50.0,52.0,52.0,53.0,77.0,62.0,68.0,70.0,71.0,71.0,90.0,90.0,90.0,90.0,90.0,90.0,90.0
root/LatinAmerica&Caribbean,root,105.0,196.0,236.0,271.0,305.0,345.0,388.0,682.0,733.0,788.0,943.0,978.0,989.0,1083.0,1117.0,1147.0,1172.0,1198.0,1205.0,1222.0,1275.0,1319.0,1376.0,1407.0,1443.0,1421.0,1473.0,1476.0,1493.0,1515.0,1589.0,1603.0,1614.0,1641.0,1666.0,1677.0,1693.0
root/LatinAmerica&Caribbean/BahamasThe,root/LatinAmerica&Caribbean,0,75.0,83.0,89.0,89.0,0,0,61.0,65.0,69.0,71.0,73.0,74.0,76.0,78.0,79.0,80.0,82.0,83.0,84.0,85.0,86.0,87.0,88.0,89.0,90.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,100.0,100.0
root/LatinAmerica&Caribbean/Belize,root/LatinAmerica&Caribbean,0,0,0,0,0,88.0,88.0,88.0,88.0,88.0,88.0,88.0,88.0,87.0,87.0,87.0,86.0,86.0,85.0,85.0,85.0,84.0,84.0,86.0,86.0,87.0,85.0,87.0,88.0,88.0,88.0,88.0,88.0,88.0,91.0,91.0,91.0
root/LatinAmerica&Caribbean/Bolivia,root/LatinAmerica&Caribbean,0,0,0,0,0,0,0,3.0,11.0,21.0,23.0,25.0,49.0,53.0,56.0,57.0,58.0,60.0,61.0,66.0,67.0,68.0,69.0,69.0,70.0,70.0,71.0,71.0,74.0,74.0,74.0,74.0,76.0,76.0,87.0,87.0,87.0
root/LatinAmerica&Caribbean/Brazil,root/LatinAmerica&Caribbean,3.0,6.0,7.0,7.0,7.0,0,0,56.0,59.0,62.0,63.0,64.0,68.0,71.0,75.0,78.0,81.0,83.0,86.0,89.0,92.0,92.0,65.0,76.0,78.0,67.0,92.0,92.0,92.0,92.0,92.0,92.0,93.0,93.0,93.0,93.0,93.0
root/LatinAmerica&Caribbean/Colombia,root/LatinAmerica&Caribbean,23.0,27.0,31.0,31.0,32.0,8.0,8.0,8.0,24.0,41.0,45.0,57.0,59.0,61.0,62.0,64.0,65.0,66.0,67.0,69.0,70.0,71.0,72.0,73.0,76.0,77.0,77.0,78.0,78.0,78.0,79.0,79.0,79.0,79.0,85.0,85.0,90.0
root/LatinAmerica&Caribbean/DominicanRepublic,root/LatinAmerica&Caribbean,2.0,4.0,5.0,7.0,12.0,33.0,33.0,34.0,34.0,34.0,60.0,82.0,25.0,83.0,82.0,82.0,81.0,80.0,71.0,61.0,48.0,32.0,83.0,84.0,86.0,75.0,85.0,85.0,86.0,86.0,87.0,90.0,90.0,90.0,90.0,90.0,90.0
root/LatinAmerica&Caribbean/Ecuador,root/LatinAmerica&Caribbean,23.0,22.0,26.0,25.0,25.0,14.0,15.0,16.0,13.0,9.0,82.0,30.0,32.0,30.0,31.0,33.0,35.0,37.0,38.0,40.0,42.0,57.0,58.0,60.0,60.0,65.0,72.0,72.0,73.0,73.0,74.0,85.0,85.0,85.0,85.0,88.0,88.0
root/LatinAmerica&Caribbean/ElSalvador,root/LatinAmerica&Caribbean,1.0,1.0,1.0,4.0,6.0,26.0,27.0,27.0,28.0,28.0,37.0,46.0,55.0,59.0,63.0,67.0,71.0,74.0,77.0,80.0,83.0,85.0,87.0,90.0,93.0,92.0,91.0,87.0,87.0,87.0,88.0,88.0,90.0,90.0,90.0,90.0,90.0
root/LatinAmerica&Caribbean/Guatemala,root/LatinAmerica&Caribbean,0,0,0,0,0,9.0,13.0,16.0,22.0,28.0,44.0,47.0,50.0,51.0,53.0,55.0,57.0,58.0,59.0,66.0,67.0,68.0,68.0,69.0,70.0,70.0,70.0,71.0,71.0,71.0,85.0,85.0,85.0,85.0,85.0,90.0,90.0
root/LatinAmerica&Caribbean/Guyana,root/LatinAmerica&Caribbean,14.0,19.0,25.0,28.0,32.0,0,0,42.0,48.0,53.0,56.0,60.0,63.0,66.0,68.0,71.0,73.0,76.0,78.0,80.0,82.0,83.0,83.0,84.0,85.0,91.0,92.0,91.0,90.0,90.0,97.0,97.0,97.0,99.0,99.0,99.0,99.0
root/LatinAmerica&Caribbean/Haiti,root/LatinAmerica&Caribbean,7.0,12.0,17.0,18.0,16.0,36.0,39.0,43.0,38.0,39.0,39.0,40.0,40.0,40.0,41.0,41.0,41.0,41.0,41.0,41.0,41.0,42.0,42.0,42.0,48.0,37.0,31.0,43.0,50.0,70.0,70.0,70.0,76.0,76.0,81.0,81.0,88.0
root/LatinAmerica&Caribbean/Honduras,root/LatinAmerica&Caribbean,0,0,0,0,0,27.0,39.0,52.0,54.0,54.0,60.0,76.0,64.0,68.0,73.0,77.0,81.0,84.0,87.0,90.0,93.0,94.0,94.0,94.0,94.0,90.0,94.0,94.0,94.0,94.0,94.0,94.0,94.0,94.0,94.0,94.0,94.0
root/LatinAmerica&Caribbean/Jamaica,root/LatinAmerica&Caribbean,5.0,10.0,17.0,23.0,30.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,51.0,72.0,71.0,52.0,59.0,51.0,53.0,54.0,58.0,62.0,80.0,80.0,80.0,80.0,80.0,80.0,80.0
root/LatinAmerica&Caribbean/Mexico,root/LatinAmerica&Caribbean,0,3.0,7.0,12.0,16.0,36.0,42.0,48.0,52.0,56.0,59.0,62.0,64.0,67.0,69.0,71.0,73.0,75.0,77.0,79.0,81.0,83.0,85.0,88.0,85.0,86.0,87.0,87.0,87.0,87.0,88.0,88.0,88.0,88.0,88.0,90.0,90.0
root/LatinAmerica&Caribbean/Nicaragua,root/LatinAmerica&Caribbean,26.0,10.0,11.0,18.0,30.0,21.0,26.0,30.0,32.0,34.0,39.0,45.0,50.0,59.0,64.0,68.0,71.0,75.0,78.0,80.0,83.0,85.0,87.0,88.0,91.0,87.0,85.0,80.0,80.0,80.0,81.0,81.0,81.0,81.0,81.0,81.0,85.0
root/LatinAmerica&Caribbean/Paraguay,root/LatinAmerica&Caribbean,0,4.0,4.0,5.0,5.0,42.0,53.0,63.0,65.0,66.0,66.0,67.0,85.0,82.0,79.0,75.0,71.0,67.0,61.0,55.0,47.0,39.0,61.0,61.0,68.0,78.0,81.0,74.0,74.0,74.0,85.0,85.0,85.0,85.0,85.0,85.0,85.0
root/LatinAmerica&Caribbean/Peru,root/LatinAmerica&Caribbean,0,0,0,0,0,5.0,5.0,6.0,9.0,14.0,19.0,24.0,31.0,38.0,44.0,50.0,56.0,62.0,64.0,65.0,66.0,62.0,62.0,63.0,65.0,65.0,66.0,67.0,67.0,67.0,85.0,85.0,85.0,85.0,85.0,85.0,85.0
root/LatinAmerica&Caribbean/Suriname,root/LatinAmerica&Caribbean,0,0,0,0,0,0,0,89.0,91.0,92.0,92.0,92.0,92.0,92.0,92.0,92.0,92.0,92.0,92.0,92.0,92.0,92.0,92.0,92.0,92.0,92.0,93.0,93.0,93.0,93.0,93.0,93.0,93.0,93.0,93.0,93.0,93.0
root/LatinAmerica&Caribbean/VenezuelaRB,root/LatinAmerica&Caribbean,1.0,3.0,2.0,4.0,5.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24.0,26.0,48.0,48.0,51.0,49.0,51.0,52.0,50.0,50.0,50.0,50.0,75.0,75.0,75.0,75.0
root/MiddleEast&NorthAfrica,root,48.0,81.0,89.0,105.0,158.0,278.0,236.0,351.0,544.0,558.0,797.0,755.0,791.0,842.0,785.0,796.0,824.0,856.0,842.0,890.0,944.0,984.0,1022.0,1016.0,1047.0,1048.0,1066.0,1075.0,1091.0,1084.0,1142.0,1150.0,1150.0,1141.0,1152.0,1151.0,1155.0
root/MiddleEast&NorthAfrica/Algeria,root/MiddleEast&NorthAfrica,0,0,0,8.0,13.0,0,0,0,0,3.0,75.0,18.0,28.0,40.0,42.0,44.0,45.0,58.0,60.0,62.0,64.0,65.0,66.0,66.0,69.0,69.0,70.0,70.0,71.0,71.0,90.0,90.0,90.0,90.0,92.0,92.0,92.0
root/MiddleEast&NorthAfrica/Bahrain,root/MiddleEast&NorthAfrica,0,0,0,0,17.0,34.0,18.0,13.0,28.0,27.0,48.0,44.0,51.0,57.0,56.0,59.0,63.0,72.0,80.0,76.0,84.0,86.0,94.0,91.0,97.0,97.0,93.0,96.0,99.0,94.0,94.0,94.0,94.0,94.0,98.0,98.0,98.0
root/MiddleEast&NorthAfrica/Djibouti,root/MiddleEast&NorthAfrica,0,9.0,13.0,11.0,7.0,14.0,12.0,14.0,58.0,55.0,80.0,85.0,87.0,77.0,55.0,62.0,68.0,69.0,53.0,48.0,46.0,54.0,57.0,59.0,65.0,71.0,77.0,79.0,79.0,77.0,79.0,79.0,79.0,79.0,80.0,80.0,85.0
root/MiddleEast&NorthAfrica/EgyptArabRep,root/MiddleEast&NorthAfrica,1.0,2.0,4.0,5.0,14.0,7.0,7.0,7.0,68.0,67.0,74.0,75.0,75.0,80.0,74.0,76.0,71.0,74.0,74.0,77.0,80.0,80.0,81.0,82.0,85.0,85.0,86.0,85.0,85.0,85.0,86.0,86.0,86.0,86.0,86.0,86.0,80.0
