root/EastAsia&Pacific,root,416.70000000000005,396.30000000000007,375.00000000000006,358.69999999999993,345.3,334.5,324.59999999999997,315.4,305.99999999999994,295.7,284.3,274.30000000000007,265.6,259.1,253.9,257.8
root/EastAsia&Pacific/Australia,root/EastAsia&Pacific,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5
root/EastAsia&Pacific/BruneiDarussalam,root/EastAsia&Pacific,3.1,2.8,2.5,2.5,2.5,2.5,2.5,2.7,3.0,3.2,3.2,3.0,2.8,2.6,2.5,2.5
root/EastAsia&Pacific/Cambodia,root/EastAsia&Pacific,29.2,25.9,23.3,21.8,20.8,20.0,19.2,18.8,18.7,18.8,18.8,18.6,18.0,17.1,16.1,15.3
root/EastAsia&Pacific/China,root/EastAsia&Pacific,15.9,15.8,15.8,15.7,15.6,15.3,14.9,14.2,13.5,12.7,11.9,11.3,10.8,10.3,9.9,9.6
root/EastAsia&Pacific/Fiji,root/EastAsia&Pacific,4.8,4.7,4.6,4.5,4.4,4.3,4.2,4.3,4.3,4.5,4.5,4.5,4.4,4.4,4.5,4.6
root/EastAsia&Pacific/FrenchPolynesia,root/EastAsia&Pacific,4.6,4.3,4.0,3.9,3.9,3.9,4.0,4.2,4.3,4.5,4.5,4.6,4.6,4.7,4.8,4.9
root/EastAsia&Pacific/HongKongSARChina,root/EastAsia&Pacific,2.4,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5
root/EastAsia&Pacific/Indonesia,root/EastAsia&Pacific,17.8,18.3,18.4,18.4,18.5,18.6,18.4,17.9,17.0,14.9,12.5,10.1,8.6,7.6,7.0,7.9
root/EastAsia&Pacific/Japan,root/EastAsia&Pacific,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.4,2.5,2.5,2.5,2.5,2.5,2.5
root/EastAsia&Pacific/Kiribati,root/EastAsia&Pacific,4.4,4.3,4.5,4.6,4.7,4.6,4.6,4.6,4.4,4.1,3.7,3.3,3.1,3.1,3.2,3.3
root/EastAsia&Pacific/KoreaDemPeople’sRep,root/EastAsia&Pacific,37.5,37.1,35.5,34.5,34.1,35.4,37.3,39.3,40.8,41.6,41.8,41.9,41.7,41.4,41.0,40.8
root/EastAsia&Pacific/KoreaRep,root/EastAsia&Pacific,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5
root/EastAsia&Pacific/LaoPDR,root/EastAsia&Pacific,37.6,35.9,33.8,31.3,28.9,26.8,25.7,24.5,23.6,22.0,20.7,19.2,18.3,17.4,17.0,17.1
