root/EastAsia&Pacific,root,74.23,127.03999999999999,64.0,87.72,92.58,166.01,76.84,115.33,104.04000000000002,123.44000000000001,91.80000000000001,165.09,122.28999999999999,150.85999999999999,133.71999999999997,155.14,148.12999999999997,147.79999999999998,172.66,164.82999999999998,168.83,139.53,151.33999999999997,152.50000000000003,136.1,136.51,105.0,149.9,155.89000000000001
root/EastAsia&Pacific/Australia,root/EastAsia&Pacific,0,0,0,19.94,0,9.84,0,0,6.87,6.56,6.25,5.94,5.57,4.18,4.18,4.18,4.18,3.47,3.48,3.5,4.11,3.49,2.8,2.77,2.69,2.69,2.69,2.49,2.49
root/EastAsia&Pacific/BruneiDarussalam,root/EastAsia&Pacific,0,0,0,0,2.66,0,0,0,4.29,4.27,4.24,4.16,4.11,4.12,3.74,3.71,3.67,3.66,3.67,3.69,2.46,2.52,2.52,2.49,0,0,1.14,0,1.14
root/EastAsia&Pacific/Cambodia,root/EastAsia&Pacific,0,0,0,0,0,0,0,0,0,0,0,0,0,16.4,16.41,16.41,0,14.27,14.27,14.19,14.23,0,12.03,10.94,10.94,0,11.24,0,11.21
root/EastAsia&Pacific/China,root/EastAsia&Pacific,0,0,0,0,42.09,39.08,35.51,0,23.7,17.51,18.28,17.12,16.99,15.88,13.11,11.36,10.52,9.81,9.87,10.01,9.7,9.62,9.74,9.8,0,0,9.67,11.04,10.93
root/EastAsia&Pacific/Fiji,root/EastAsia&Pacific,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.78,10.52,0,11.11,12.13,13.6,13.54,13.69,15.43,13.87,14.13,0,10.2,0
root/EastAsia&Pacific/FrenchPolynesia,root/EastAsia&Pacific,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.76,10.77,0,10.77,9.16,9.17,9.17,9.16,9.16
root/EastAsia&Pacific/Indonesia,root/EastAsia&Pacific,0,29.21,25.74,0,0,17.92,0,15.34,12.35,22.51,8.94,11.19,8.43,6.9,6.91,6.91,6.96,6.96,6.96,6.91,6.9,6.8,7.39,7.42,7.36,7.22,0,0,7.88
root/EastAsia&Pacific/Japan,root/EastAsia&Pacific,5.74,5.62,5.01,5.04,5.03,5.11,5.15,5.49,5.68,5.18,4.98,5.22,6.04,6.39,6.15,5.82,5.38,5.24,5.3,5.11,4.91,4.91,4.41,5.11,4.88,3.08,5.09,4.47,4.8
root/EastAsia&Pacific/KoreaRep,root/EastAsia&Pacific,19.03,14.98,13.43,0,11.75,0,0,9.07,14.2,13.83,13.97,9.19,13.55,13.61,12.7,12.81,12.09,12.12,12.12,12.25,12.2,11.92,12.12,12.14,13.38,13.39,13.35,13.94,13.94
root/EastAsia&Pacific/LaoPDR,root/EastAsia&Pacific,0,0,0,0,0,0,0,0,0,0,0,0,9.5,9.63,0,0,9.65,9.71,9.71,9.71,9.71,0,0,0,0,0,10.01,10.01,8.54
root/EastAsia&Pacific/Malaysia,root/EastAsia&Pacific,20.88,0,0,17.18,0,13.55,0,0,11.5,10.2,14.89,10.66,9.84,9.2,8.33,9.46,13.53,7.32,7.67,8.19,8.15,8.59,6.67,6.25,6.25,6.26,5.12,0,5.78
