root/EastAsia&PacificAustralia,root,0,0,0,68.05,0,8.52,0,0,8.43,7.96,8.03,7.51,6.53,0.97,0.78,0.79,0.74,0.65,0.42,0.5,0.54,0.57,0.44,0.32,0.3,0.32,0.38,0.52,0.44
root/EastAsia&PacificBruneiDarussalam,root,0,0,0,0,4.07,0,0,0,15.41,14.34,14.38,9.76,11.02,13.87,13.3,11.4,10.67,9.05,9.81,9.73,0.3,0.43,0.54,0.01,0,0,0,0,0.01
root/EastAsia&PacificCambodia,root,0,0,0,0,0,0,0,0,0,0,0,0,0,16.1,15.03,15.57,0,11.68,11.41,13.98,11.83,0,10.47,9.65,9.16,0,8.33,0,10.98
root/EastAsia&PacificChina,root,0,0,0,0,13.96,13.94,12.81,0,24.98,19.89,17.55,16.67,18.82,19.18,6.08,5.73,6.22,3.47,3.54,3.04,2.16,1.82,1.86,1.64,0,0,1.6,2.07,2.34
root/EastAsia&PacificFiji,root,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.9,10.48,0,8.2,7.97,8.83,11.56,10.07,24.92,10.58,11.2,0,9.33,0
root/EastAsia&PacificFrenchPolynesia,root,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.41,2.73,0,2.63,2.47,2.72,2.72,3.42,3.4
root/EastAsia&PacificIndonesia,root,0,5.81,5.26,0,0,5.95,0,4.84,3.72,7.19,2.39,3.25,2.76,2.49,3.83,2.66,2.44,2.41,2.31,2.01,2.52,1.44,1.85,1.87,1.61,1.51,0,0,2.35
root/EastAsia&PacificJapan,root,4.83,4.92,4.7,5.45,5.73,5.84,5.91,9.38,10.32,8.15,8.23,9.35,10.0,13.02,12.9,12.27,8.63,7.43,3.8,3.66,3.11,4.03,2.7,2.96,2.72,1.13,2.96,3.59,4.67
root/EastAsia&PacificKoreaRep,root,8.15,5.57,6.19,0,6.26,0,0,5.85,31.35,25.94,26.49,5.54,17.34,18.64,18.94,18.62,17.6,13.47,11.42,11.51,13.13,12.61,11.03,10.43,10.62,11.26,9.66,9.38,16.27
root/EastAsia&PacificLaoPDR,root,0,0,0,0,0,0,0,0,0,0,0,0,18.07,16.99,0,0,14.12,12.57,9.86,7.32,14.23,0,0,0,0,0,4.58,13.74,3.35
root/EastAsia&PacificMalaysia,root,13.11,0,0,11.78,0,9.8,0,0,6.51,7.19,6.99,7.29,6.28,7.33,2.12,5.56,7.55,2.24,3.82,5.08,4.99,5.04,3.63,3.85,4.04,4.62,0.79,0,3.52
root/EastAsia&PacificMongolia,root,0,0,0,0,0,0,0,0,0,0,0,0.3,5.42,7.31,7.24,5.3,5.25,5.1,5.09,5.41,5.41,5.41,5.25,5.26,0,5.24,0,4.02,0
root/EastAsia&PacificMyanmar,root,0,0,0,0,0,0,0,0,3.55,3.55,3.55,3.55,3.55,3.42,3.42,3.41,3.4,1.97,1.94,1.93,1.9,0,1.57,1.51,7.64,3.22,0,1.61,0
root/EastAsia&PacificNauru,root,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.48
root/EastAsia&PacificNewZealand,root,0,0,0,0,7.66,9.72,0,0,1.58,1.5,1.33,1.17,0.77,4.52,4.18,4.62,4.37,6.44,7.88,0.47,0.4,0.48,13.44,0.98,1.09,0.44,0.48,0.56,0.51
root/EastAsia&PacificPalau,root,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.72,0.72,0,0,0,8.53,8.22,7.98,0,0,12.19,12.73
root/EastAsia&PacificPapuaNewGuinea,root,0,0,0,0,0,0,0,0,0,19.42,0,19.54,4.72,4.59,3.99,3.52,3.19,4.29,3.85,2.54,4.99,4.72,4.73,0,4.07,4.16,0,0,0
root/EastAsia&PacificPhilippines,root,18.56,18.63,14.04,0,13.85,16.46,15.94,15.94,14.44,9.81,13.13,9.73,6.03,5.89,6.03,4.97,5.26,6.33,6.38,5.17,7.19,6.82,7.72,3.19,2.86,2.32,0,3.43,4.36
root/EastAsia&PacificSamoa,root,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.01,10.58,10.51,11.0,11.81,12.79
root/EastAsia&PacificSingapore,root,0,10.9,0,0,0,0,0,2.12,0.29,0.29,0.31,0.31,0.22,0.21,0.21,0.1,0,0.12,0.06,0.03,0.14,0.18,0.15,0.42,0.15,0.19,0.19,0.26,0.28
root/EastAsia&PacificSolomonIslands,root,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17.09,0,0,0,0,0,0,60.26,21.87
root/EastAsia&PacificThailand,root,0,27.87,0,28.92,0,43.12,0,12.06,0,0,0,27.87,7.96,4.43,0,4.88,2.61,2.45,2.29,2.59,2.29,2.77,2.66,2.68,0,5.25,4.84,5.72,0
root/EastAsia&PacificTimorLeste,root,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.5,2.5,2.5,2.5,2.5,2.5
root/EastAsia&PacificTonga,root,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.61,3.39,3.95,3.4,2.81,0,2.9,2.94
root/EastAsia&PacificTuvalu,root,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.25,0,0,0,0,0,0
root/EastAsia&PacificVanuatu,root,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32.34,24.55,24.66,24.77,23.12,29.36,30.39,30.27,0,0,13.77,0,0,9.57,11.46
root/EastAsia&PacificVietnam,root,0,0,0,0,0,0,26.27,0,0,0,0,28.01,0,11.23,13.12,11.06,10.84,10.72,10.29,9.66,4.08,10.12,4.98,0,2.87,4.07,4.42,4.63,4.08
root/Europe&CentralAsiaAlbania,root,0,0,0,0,0,0,0,0,0,12.8,0,0,10.83,10.6,7.68,7.57,6.97,6.51,6.36,5.21,3.24,5.29,4.95,1.76,1.68,1.87,2.02,1.95,1.82
root/Europe&CentralAsiaArmenia,root,0,0,0,0,0,0,0,0,0,0,0,0,0,3.4,0,3.75,3.26,3.19,2.02,3.01,2.22,3.52,3.38,3.44,1.95,1.82,1.98,1.81,0.89
root/Europe&CentralAsiaAustria,root,2.73,2.71,3.03,3.04,3.21,2.57,2.65,8.81,7.09,5.12,5.48,5.61,2.94,4.81,2.65,3.12,2.75,2.47,2.0,1.88,1.42,1.79,1.4,1.28,1.12,1.27,1.49,1.6,2.06
root/Europe&CentralAsiaAzerbaijan,root,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.47,0,0,6.06,0,3.92,3.21,4.19,0,4.33,4.28,4.19,3.7,3.13,0
root/Europe&CentralAsiaBelarus,root,0,0,0,0,0,0,0,0,6.44,7.01,0,0,5.83,6.01,6.9,0,0,0,0,0,0.88,0.86,1.53,1.19,1.32,1.47,1.39,1.21,1.16
root/Europe&CentralAsiaBelgium,root,2.73,2.71,3.03,3.04,3.21,2.57,2.65,8.81,7.09,5.12,5.48,5.61,2.94,4.81,2.65,3.12,2.75,2.47,2.0,1.88,1.42,1.79,1.4,1.28,1.12,1.27,1.49,1.6,2.06
root/Europe&CentralAsiaBosniaandHerzegovina,root,0,0,0,0,0,0,0,0,0,0,0,0,0,5.27,0,0,0,0,11.04,6.45,5.68,5.56,4.1,3.33,3.05,3.03,3.35,0.88,0.89
root/Europe&CentralAsiaBulgaria,root,2.73,2.71,3.03,3.04,3.21,2.57,2.65,8.81,7.09,5.12,5.48,5.61,2.94,4.81,2.65,3.12,2.75,2.47,2.0,1.88,1.42,1.79,1.4,1.28,1.12,1.27,1.49,1.6,2.06
root/Europe&CentralAsiaCroatia,root,2.73,2.71,3.03,3.04,3.21,2.57,2.65,8.81,7.09,5.12,5.48,5.61,2.94,4.81,2.65,3.12,2.75,2.47,2.0,1.88,1.42,1.79,1.4,1.28,1.12,1.27,1.49,1.6,2.06
root/Europe&CentralAsiaCyprus,root,2.73,2.71,3.03,3.04,3.21,2.57,2.65,8.81,7.09,5.12,5.48,5.61,2.94,4.81,2.65,3.12,2.75,2.47,2.0,1.88,1.42,1.79,1.4,1.28,1.12,1.27,1.49,1.6,2.06
root/Europe&CentralAsiaCzechRepublic,root,2.73,2.71,3.03,3.04,3.21,2.57,2.65,8.81,7.09,5.12,5.48,5.61,2.94,4.81,2.65,3.12,2.75,2.47,2.0,1.88,1.42,1.79,1.4,1.28,1.12,1.27,1.49,1.6,2.06
root/Europe&CentralAsiaDenmark,root,2.73,2.71,3.03,3.04,3.21,2.57,2.65,8.81,7.09,5.12,5.48,5.61,2.94,4.81,2.65,3.12,2.75,2.47,2.0,1.88,1.42,1.79,1.4,1.28,1.12,1.27,1.49,1.6,2.06
root/Europe&CentralAsiaEstonia,root,2.73,2.71,3.03,3.04,3.21,2.57,2.65,8.81,7.09,5.12,5.48,5.61,2.94,4.81,2.65,3.12,2.75,2.47,2.0,1.88,1.42,1.79,1.4,1.28,1.12,1.27,1.49,1.6,2.06
root/Europe&CentralAsiaFinland,root,2.73,2.71,3.03,3.04,3.21,2.57,2.65,8.81,7.09,5.12,5.48,5.61,2.94,4.81,2.65,3.12,2.75,2.47,2.0,1.88,1.42,1.79,1.4,1.28,1.12,1.27,1.49,1.6,2.06
root/Europe&CentralAsiaFrance,root,2.73,2.71,3.03,3.04,3.21,2.57,2.65,8.81,7.09,5.12,5.48,5.61,2.94,4.81,2.65,3.12,2.75,2.47,2.0,1.88,1.42,1.79,1.4,1.28,1.12,1.27,1.49,1.6,2.06
root/Europe&CentralAsiaGeorgia,root,0,0,0,0,0,0,0,0,0,0,0,11.98,0,11.43,13.05,12.82,13.14,12.2,3.46,1.38,1.37,1.23,1.16,1.71,1.21,1.0,0,0.56,1.12
root/Europe&CentralAsiaGermany,root,2.73,2.71,3.03,3.04,3.21,2.57,2.65,8.81,7.09,5.12,5.48,5.61,2.94,4.81,2.65,3.12,2.75,2.47,2.0,1.88,1.42,1.79,1.4,1.28,1.12,1.27,1.49,1.6,2.06
root/Europe&CentralAsiaGreece,root,2.73,2.71,3.03,3.04,3.21,2.57,2.65,8.81,7.09,5.12,5.48,5.61,2.94,4.81,2.65,3.12,2.75,2.47,2.0,1.88,1.42,1.79,1.4,1.28,1.12,1.27,1.49,1.6,2.06
root/Europe&CentralAsiaHungary,root,2.73,2.71,3.03,3.04,3.21,2.57,2.65,8.81,7.09,5.12,5.48,5.61,2.94,4.81,2.65,3.12,2.75,2.47,2.0,1.88,1.42,1.79,1.4,1.28,1.12,1.27,1.49,1.6,2.06
root/Europe&CentralAsiaIceland,root,0,0,0,0,0,5.21,0,0,5.92,0,11.22,7.14,10.56,5.29,0,8.47,9.76,10.08,4.82,4.77,3.31,2.85,2.17,2.42,2.29,2.74,2.68,3.29,4.2
